cultura,ontology,traitDbId,traitId,traitName,defaultValue,n_observation_variables,observation_variables
Brassica,CO_348,CO_348:2000024,CO_348:2000024,Seed glucosinolate content,,1,CO_348:1000025
Brassica,CO_348,CO_348:2000025,CO_348:2000025,Seed moisture content,,1,CO_348:1000026
Brassica,CO_348,CO_348:2000026,CO_348:2000026,Meal protein content,,1,CO_348:1000027
Brassica,CO_348,CO_348:2000027,CO_348:2000027,Seed moisture content,,2,CO_348:1000028; CO_348:1000029
Brassica,CO_348,CO_348:2000028,CO_348:2000028,Seed impurity content,,1,CO_348:1000030
Brassica,CO_348,CO_348:2000029,CO_348:2000029,Biotic attack annotation,,1,CO_348:1000031
Brassica,CO_348,CO_348:2000030,CO_348:2000030,Plant lodging incidence,,1,CO_348:1000032
Brassica,CO_348,CO_348:2000031,CO_348:2000031,Crop problems annotation,,1,CO_348:1000033
Brassica,CO_348,CO_348:2000032,CO_348:2000032,Climatic incidents annotation,,1,CO_348:1000034
Brassica,CO_348,CO_348:2000033,CO_348:2000033,Phoma damage,,1,CO_348:1000035
Brassica,CO_348,CO_348:2000034,CO_348:2000034,Weevils damage,,1,CO_348:1000036
Brassica,CO_348,CO_348:2000035,CO_348:2000035,Plot measure validity,,1,CO_348:1000037
Brassica,CO_348,CO_348:2000036,CO_348:2000036,Biomass partitioning to seed,,1,CO_348:1000038
Brassica,CO_348,CO_348:2000037,CO_348:2000037,Seed N content to total plant N content ratio,,1,CO_348:1000039
Brassica,CO_348,CO_348:2000038,CO_348:2000038,Oil yield,,1,CO_348:1000040
Brassica,CO_348,CO_348:2000039,CO_348:2000039,Plot size,,1,CO_348:1000041
Brassica,CO_348,CO_348:2000040,CO_348:2000040,Seed protein yield,,1,CO_348:1000042
Brassica,CO_348,CO_348:2000041,CO_348:2000041,Hail damage,,1,CO_348:1000043
Brassica,CO_348,CO_348:2100001,CO_348:2100001,Primary root lengh,,1,CO_348:1100001
Brassica,CO_348,CO_348:2100002,CO_348:2100002,Lateral root length,,1,CO_348:1100002
Brassica,CO_348,CO_348:2100003,CO_348:2100003,Lateral root number,,1,CO_348:1100003
Brassica,CO_348,CO_348:2100004,CO_348:2100004,Total root length,,1,CO_348:1100004
Brassica,CO_348,CO_348:2100005,CO_348:2100005,Mean lateral root length,,1,CO_348:1100005
Brassica,CO_348,CO_348:2100006,CO_348:2100006,Lateral root density,,1,CO_348:1100006
Brassica,CO_348,CO_348:2100007,CO_348:2100007,Seed diameter,,1,CO_348:1100007
Brassica,CO_348,CO_348:2100008,CO_348:2100008,Seed Arsenic content,,1,CO_348:1100008
Brassica,CO_348,CO_348:2100009,CO_348:2100009,Seed Boron content,,1,CO_348:1100009
Brassica,CO_348,CO_348:2100010,CO_348:2100010,Seed Calcium content,,1,CO_348:1100010
Brassica,CO_348,CO_348:2100011,CO_348:2100011,Seed Cadmium content,,1,CO_348:1100011
Brassica,CO_348,CO_348:2100012,CO_348:2100012,Seed Cobalt content,,1,CO_348:1100012
Brassica,CO_348,CO_348:2100013,CO_348:2100013,Seed Chromium content,,1,CO_348:1100013
Brassica,CO_348,CO_348:2100014,CO_348:2100014,Seed Copper content,,1,CO_348:1100014
Brassica,CO_348,CO_348:2100015,CO_348:2100015,Seed Iron content,,1,CO_348:1100015
Brassica,CO_348,CO_348:2100016,CO_348:2100016,Seed Potassium content,,1,CO_348:1100016
Brassica,CO_348,CO_348:2100017,CO_348:2100017,Seed Lithium content,,1,CO_348:1100017
Brassica,CO_348,CO_348:2100018,CO_348:2100018,Seed Magnesium content,,1,CO_348:1100018
Brassica,CO_348,CO_348:2100019,CO_348:2100019,Seed Manganese content,,1,CO_348:1100019
Brassica,CO_348,CO_348:2100020,CO_348:2100020,Seed Molybdenum content,,1,CO_348:1100020
Brassica,CO_348,CO_348:2100021,CO_348:2100021,Seed Sodium content,,1,CO_348:1100021
Brassica,CO_348,CO_348:2100022,CO_348:2100022,Seed Nickel content,,1,CO_348:1100022
Brassica,CO_348,CO_348:2100023,CO_348:2100023,Seed Phosphorus content,,1,CO_348:1100023
Brassica,CO_348,CO_348:2100024,CO_348:2100024,Seed Lead content,,1,CO_348:1100024
Brassica,CO_348,CO_348:2100025,CO_348:2100025,Seed Rubidium content,,1,CO_348:1100025
Brassica,CO_348,CO_348:2100026,CO_348:2100026,Seed Sulphur content,,1,CO_348:1100026
Brassica,CO_348,CO_348:2100027,CO_348:2100027,Seed Selenium content,,1,CO_348:1100027
Brassica,CO_348,CO_348:2100028,CO_348:2100028,Seed Strontium content,,1,CO_348:1100028
Brassica,CO_348,CO_348:2100029,CO_348:2100029,Seed Zinc content,,1,CO_348:1100029
Brassica,CO_348,CO_348:2100030,CO_348:2100030,Leaf Silver content,,1,CO_348:1100030
Brassica,CO_348,CO_348:2100031,CO_348:2100031,Leaf Aluminium content,,1,CO_348:1100031
Brassica,CO_348,CO_348:2100032,CO_348:2100032,Leaf Arsenic content,,1,CO_348:1100032
Brassica,CO_348,CO_348:2100033,CO_348:2100033,Leaf Boron content,,1,CO_348:1100033
Brassica,CO_348,CO_348:2100034,CO_348:2100034,Leaf Balium content,,1,CO_348:1100034
Brassica,CO_348,CO_348:2100035,CO_348:2100035,Leaf Calcium content,,1,CO_348:1100035
Brassica,CO_348,CO_348:2100036,CO_348:2100036,Leaf Cadmium content,,1,CO_348:1100036
Brassica,CO_348,CO_348:2100037,CO_348:2100037,Leaf Chromium content,,1,CO_348:1100037
Brassica,CO_348,CO_348:2100038,CO_348:2100038,Leaf Caesium content,,1,CO_348:1100038
Brassica,CO_348,CO_348:2100039,CO_348:2100039,Leaf Copper content,,1,CO_348:1100039
Brassica,CO_348,CO_348:2100040,CO_348:2100040,Leaf Iron content,,1,CO_348:1100040
Brassica,CO_348,CO_348:2100041,CO_348:2100041,Leaf Potassium content,,1,CO_348:1100041
Brassica,CO_348,CO_348:2100042,CO_348:2100042,Leaf Magnesium content,,1,CO_348:1100042
Brassica,CO_348,CO_348:2100043,CO_348:2100043,Leaf Manganese content,,1,CO_348:1100043
Brassica,CO_348,CO_348:2100044,CO_348:2100044,Leaf Molybdenum content,,1,CO_348:1100044
Brassica,CO_348,CO_348:2100045,CO_348:2100045,Leaf Sodium content,,1,CO_348:1100045
Brassica,CO_348,CO_348:2100046,CO_348:2100046,Leaf Nickel content,,1,CO_348:1100046
Brassica,CO_348,CO_348:2100047,CO_348:2100047,Leaf Phosphorus content,,1,CO_348:1100047
Brassica,CO_348,CO_348:2100048,CO_348:2100048,Leaf Lead content,,1,CO_348:1100048
Brassica,CO_348,CO_348:2100049,CO_348:2100049,Leaf Rubidium content,,1,CO_348:1100049
Brassica,CO_348,CO_348:2100050,CO_348:2100050,Leaf Sulphur content,,1,CO_348:1100050
Brassica,CO_348,CO_348:2100051,CO_348:2100051,Leaf Selenium content,,1,CO_348:1100051
Brassica,CO_348,CO_348:2100052,CO_348:2100052,Leaf Strontium content,,1,CO_348:1100052
Brassica,CO_348,CO_348:2100053,CO_348:2100053,Leaf Titanium content,,1,CO_348:1100053
Brassica,CO_348,CO_348:2100054,CO_348:2100054,Leaf Uranium content,,1,CO_348:1100054
Brassica,CO_348,CO_348:2100055,CO_348:2100055,Leaf Vanadium content,,1,CO_348:1100055
Brassica,CO_348,CO_348:2100056,CO_348:2100056,Leaf Zinc content,,1,CO_348:1100056
Brassica,CO_348,CO_348:2100057,CO_348:2100057,Seed Brassicasterol content,,1,CO_348:1100057
Brassica,CO_348,CO_348:2100058,CO_348:2100058,Seed diunsaturated Campesterol content,,1,CO_348:1100058
Brassica,CO_348,CO_348:2000001,CO_348:2000001,Plant stand,,1,CO_348:1000001
Brassica,CO_348,CO_348:2000002,CO_348:2000002,Regularity of plant stand,,1,CO_348:1000002
Brassica,CO_348,CO_348:2000003,CO_348:2000003,Biomass yield,,1,CO_348:1000003
Brassica,CO_348,CO_348:2100125,CO_348:2100125,Plant height,,2,CO_348:1000004; CO_348:1100101
Brassica,CO_348,CO_348:2000004,CO_348:2000004,Pod shattering,,1,CO_348:1000005
Brassica,CO_348,CO_348:2000005,CO_348:2000005,First inter-node time (BBCH 31),,1,CO_348:1000006
Brassica,CO_348,CO_348:2000006,CO_348:2000006,First flowers time (BBCH 60),,1,CO_348:1000007
Brassica,CO_348,CO_348:2000007,CO_348:2000007,Beginning of flowering time (BBCH 61),,1,CO_348:1000008
Brassica,CO_348,CO_348:2000008,CO_348:2000008,Flowering time (BBCH 62-65),,1,CO_348:1000009
Brassica,CO_348,CO_348:2000009,CO_348:2000009,End of flowering time (BBCH 69),,1,CO_348:1000010
Brassica,CO_348,CO_348:2000010,CO_348:2000010,Beginning of pod development time (BBCH 71),,1,CO_348:1000011
Brassica,CO_348,CO_348:2000011,CO_348:2000011,Early pod development time (BBCH 73),,1,CO_348:1000012
Brassica,CO_348,CO_348:2000012,CO_348:2000012,Pod development time (BBCH 72-79),,1,CO_348:1000013
Brassica,CO_348,CO_348:2000013,CO_348:2000013,Beginning of pod maturity time (BBCH 81),,1,CO_348:1000014
Brassica,CO_348,CO_348:2000014,CO_348:2000014,Pod maturity time (BBCH 82-99),,1,CO_348:1000015
Brassica,CO_348,CO_348:2000015,CO_348:2000015,Plant stand at emergence,,1,CO_348:1000016
Brassica,CO_348,CO_348:2000016,CO_348:2000016,Seed erucic acid content,,1,CO_348:1000017
Brassica,CO_348,CO_348:2000017,CO_348:2000017,Seed palmitic acid content,,1,CO_348:1000018
Brassica,CO_348,CO_348:2000018,CO_348:2000018,Seed stearic acid content,,1,CO_348:1000019
Brassica,CO_348,CO_348:2000019,CO_348:2000019,Seed oleic acid content,,1,CO_348:1000020
Brassica,CO_348,CO_348:2000020,CO_348:2000020,Seed linoleic acid content,,1,CO_348:1000021
Brassica,CO_348,CO_348:2000021,CO_348:2000021,Seed linolenic acid content,,1,CO_348:1000022
Brassica,CO_348,CO_348:2000022,CO_348:2000022,Seed oil content,,1,CO_348:1000023
Brassica,CO_348,CO_348:2000023,CO_348:2000023,Seed protein content,,1,CO_348:1000024
Brassica,CO_348,CO_348:2000024,CO_348:2000024,Seed glucosinolate content,,1,CO_348:1000025
Brassica,CO_348,CO_348:2000025,CO_348:2000025,Seed moisture content,,1,CO_348:1000026
Brassica,CO_348,CO_348:2000026,CO_348:2000026,Meal protein content,,1,CO_348:1000027
Brassica,CO_348,CO_348:2000027,CO_348:2000027,Seed moisture content,,2,CO_348:1000028; CO_348:1000029
Brassica,CO_348,CO_348:2000028,CO_348:2000028,Seed impurity content,,1,CO_348:1000030
Brassica,CO_348,CO_348:2000029,CO_348:2000029,Biotic attack annotation,,1,CO_348:1000031
Brassica,CO_348,CO_348:2000030,CO_348:2000030,Plant lodging incidence,,1,CO_348:1000032
Brassica,CO_348,CO_348:2000031,CO_348:2000031,Crop problems annotation,,1,CO_348:1000033
Brassica,CO_348,CO_348:2000032,CO_348:2000032,Climatic incidents annotation,,1,CO_348:1000034
Brassica,CO_348,CO_348:2000033,CO_348:2000033,Phoma damage,,1,CO_348:1000035
Brassica,CO_348,CO_348:2000034,CO_348:2000034,Weevils damage,,1,CO_348:1000036
Brassica,CO_348,CO_348:2000035,CO_348:2000035,Plot measure validity,,1,CO_348:1000037
Brassica,CO_348,CO_348:2000036,CO_348:2000036,Biomass partitioning to seed,,1,CO_348:1000038
Brassica,CO_348,CO_348:2000037,CO_348:2000037,Seed N content to total plant N content ratio,,1,CO_348:1000039
Brassica,CO_348,CO_348:2000038,CO_348:2000038,Oil yield,,1,CO_348:1000040
Brassica,CO_348,CO_348:2000039,CO_348:2000039,Plot size,,1,CO_348:1000041
Brassica,CO_348,CO_348:2000040,CO_348:2000040,Seed protein yield,,1,CO_348:1000042
Brassica,CO_348,CO_348:2000041,CO_348:2000041,Hail damage,,1,CO_348:1000043
Brassica,CO_348,CO_348:2100001,CO_348:2100001,Primary root lengh,,1,CO_348:1100001
Brassica,CO_348,CO_348:2100002,CO_348:2100002,Lateral root length,,1,CO_348:1100002
Brassica,CO_348,CO_348:2100003,CO_348:2100003,Lateral root number,,1,CO_348:1100003
Brassica,CO_348,CO_348:2100004,CO_348:2100004,Total root length,,1,CO_348:1100004
Brassica,CO_348,CO_348:2100005,CO_348:2100005,Mean lateral root length,,1,CO_348:1100005
Brassica,CO_348,CO_348:2100006,CO_348:2100006,Lateral root density,,1,CO_348:1100006
Brassica,CO_348,CO_348:2100007,CO_348:2100007,Seed diameter,,1,CO_348:1100007
Brassica,CO_348,CO_348:2100008,CO_348:2100008,Seed Arsenic content,,1,CO_348:1100008
Brassica,CO_348,CO_348:2100009,CO_348:2100009,Seed Boron content,,1,CO_348:1100009
Brassica,CO_348,CO_348:2100010,CO_348:2100010,Seed Calcium content,,1,CO_348:1100010
Brassica,CO_348,CO_348:2100011,CO_348:2100011,Seed Cadmium content,,1,CO_348:1100011
Brassica,CO_348,CO_348:2100012,CO_348:2100012,Seed Cobalt content,,1,CO_348:1100012
Brassica,CO_348,CO_348:2100013,CO_348:2100013,Seed Chromium content,,1,CO_348:1100013
Brassica,CO_348,CO_348:2100014,CO_348:2100014,Seed Copper content,,1,CO_348:1100014
Brassica,CO_348,CO_348:2100015,CO_348:2100015,Seed Iron content,,1,CO_348:1100015
Brassica,CO_348,CO_348:2100016,CO_348:2100016,Seed Potassium content,,1,CO_348:1100016
Brassica,CO_348,CO_348:2100017,CO_348:2100017,Seed Lithium content,,1,CO_348:1100017
Brassica,CO_348,CO_348:2100018,CO_348:2100018,Seed Magnesium content,,1,CO_348:1100018
Brassica,CO_348,CO_348:2100019,CO_348:2100019,Seed Manganese content,,1,CO_348:1100019
Brassica,CO_348,CO_348:2100020,CO_348:2100020,Seed Molybdenum content,,1,CO_348:1100020
Brassica,CO_348,CO_348:2100021,CO_348:2100021,Seed Sodium content,,1,CO_348:1100021
Brassica,CO_348,CO_348:2100022,CO_348:2100022,Seed Nickel content,,1,CO_348:1100022
Brassica,CO_348,CO_348:2100023,CO_348:2100023,Seed Phosphorus content,,1,CO_348:1100023
Brassica,CO_348,CO_348:2100024,CO_348:2100024,Seed Lead content,,1,CO_348:1100024
Brassica,CO_348,CO_348:2100025,CO_348:2100025,Seed Rubidium content,,1,CO_348:1100025
Brassica,CO_348,CO_348:2100026,CO_348:2100026,Seed Sulphur content,,1,CO_348:1100026
Brassica,CO_348,CO_348:2100027,CO_348:2100027,Seed Selenium content,,1,CO_348:1100027
Brassica,CO_348,CO_348:2100028,CO_348:2100028,Seed Strontium content,,1,CO_348:1100028
Brassica,CO_348,CO_348:2100029,CO_348:2100029,Seed Zinc content,,1,CO_348:1100029
Brassica,CO_348,CO_348:2100030,CO_348:2100030,Leaf Silver content,,1,CO_348:1100030
Brassica,CO_348,CO_348:2100031,CO_348:2100031,Leaf Aluminium content,,1,CO_348:1100031
Brassica,CO_348,CO_348:2100032,CO_348:2100032,Leaf Arsenic content,,1,CO_348:1100032
Brassica,CO_348,CO_348:2100033,CO_348:2100033,Leaf Boron content,,1,CO_348:1100033
Brassica,CO_348,CO_348:2100034,CO_348:2100034,Leaf Balium content,,1,CO_348:1100034
Brassica,CO_348,CO_348:2100035,CO_348:2100035,Leaf Calcium content,,1,CO_348:1100035
Brassica,CO_348,CO_348:2100036,CO_348:2100036,Leaf Cadmium content,,1,CO_348:1100036
Brassica,CO_348,CO_348:2100037,CO_348:2100037,Leaf Chromium content,,1,CO_348:1100037
Brassica,CO_348,CO_348:2100038,CO_348:2100038,Leaf Caesium content,,1,CO_348:1100038
Brassica,CO_348,CO_348:2100039,CO_348:2100039,Leaf Copper content,,1,CO_348:1100039
Brassica,CO_348,CO_348:2100040,CO_348:2100040,Leaf Iron content,,1,CO_348:1100040
Brassica,CO_348,CO_348:2100041,CO_348:2100041,Leaf Potassium content,,1,CO_348:1100041
Brassica,CO_348,CO_348:2100042,CO_348:2100042,Leaf Magnesium content,,1,CO_348:1100042
Brassica,CO_348,CO_348:2100043,CO_348:2100043,Leaf Manganese content,,1,CO_348:1100043
Brassica,CO_348,CO_348:2100044,CO_348:2100044,Leaf Molybdenum content,,1,CO_348:1100044
Brassica,CO_348,CO_348:2100045,CO_348:2100045,Leaf Sodium content,,1,CO_348:1100045
Brassica,CO_348,CO_348:2100046,CO_348:2100046,Leaf Nickel content,,1,CO_348:1100046
Brassica,CO_348,CO_348:2100047,CO_348:2100047,Leaf Phosphorus content,,1,CO_348:1100047
Brassica,CO_348,CO_348:2100048,CO_348:2100048,Leaf Lead content,,1,CO_348:1100048
Brassica,CO_348,CO_348:2100049,CO_348:2100049,Leaf Rubidium content,,1,CO_348:1100049
Brassica,CO_348,CO_348:2100050,CO_348:2100050,Leaf Sulphur content,,1,CO_348:1100050
Brassica,CO_348,CO_348:2100051,CO_348:2100051,Leaf Selenium content,,1,CO_348:1100051
Brassica,CO_348,CO_348:2100052,CO_348:2100052,Leaf Strontium content,,1,CO_348:1100052
Brassica,CO_348,CO_348:2100053,CO_348:2100053,Leaf Titanium content,,1,CO_348:1100053
Brassica,CO_348,CO_348:2100054,CO_348:2100054,Leaf Uranium content,,1,CO_348:1100054
Brassica,CO_348,CO_348:2100055,CO_348:2100055,Leaf Vanadium content,,1,CO_348:1100055
Brassica,CO_348,CO_348:2100056,CO_348:2100056,Leaf Zinc content,,1,CO_348:1100056
Brassica,CO_348,CO_348:2100057,CO_348:2100057,Seed Brassicasterol content,,1,CO_348:1100057
Brassica,CO_348,CO_348:2100058,CO_348:2100058,Seed diunsaturated Campesterol content,,1,CO_348:1100058
Common Bean,CO_335,CO_335:0000920,CO_335:0000920,Geometric mean of days to physiological maturity,,1,CO_335:0000743
Common Bean,CO_335,CO_335:0000921,CO_335:0000921,Geometric mean of hundred seed weight,,1,CO_335:0000740
Common Bean,CO_335,CO_335:0000922,CO_335:0000922,Geometric mean of seed yield,,1,CO_335:0000737
Common Bean,CO_335,CO_335:0000923,CO_335:0000923,Seed yield drought susceptibility index,,1,CO_335:0000656
Common Bean,CO_335,CO_335:0000924,CO_335:0000924,Canopy width,,1,CO_335:0000108
Common Bean,CO_335,CO_335:0000925,CO_335:0000925,Dead leaf biomass at R8,,1,CO_335:0000085
Common Bean,CO_335,CO_335:0000926,CO_335:0000926,Hundred seed weight,,1,CO_335:0000001
Common Bean,CO_335,CO_335:0000927,CO_335:0000927,Leaf area,,1,CO_335:0000647
Common Bean,CO_335,CO_335:0000928,CO_335:0000928,Leaf area index,,1,CO_335:0000034
Common Bean,CO_335,CO_335:0000929,CO_335:0000929,Leaf biomass at R8,,1,CO_335:0000097
Common Bean,CO_335,CO_335:0000930,CO_335:0000930,Mean root diameter,,1,CO_335:0000038
Common Bean,CO_335,CO_335:0000931,CO_335:0000931,Plant harvested number,,2,CO_335:0000548; CO_335:0000043
Common Bean,CO_335,CO_335:0000932,CO_335:0000932,Plant height,,1,CO_335:0000106
Common Bean,CO_335,CO_335:0000933,CO_335:0000933,Plant leaf area,,1,CO_335:0000650
Common Bean,CO_335,CO_335:0000934,CO_335:0000934,Plant pod number,,1,CO_335:0000041
Common Bean,CO_335,CO_335:0000935,CO_335:0000935,Plant root volume,,1,CO_335:0000677
Common Bean,CO_335,CO_335:0000936,CO_335:0000936,Plant seed number,,1,CO_335:0000578
Common Bean,CO_335,CO_335:0000937,CO_335:0000937,Plant seed yield,,1,CO_335:0000069
Common Bean,CO_335,CO_335:0000938,CO_335:0000938,Plant shoot biomass,,1,CO_335:0000638
Common Bean,CO_335,CO_335:0000939,CO_335:0000939,Plant total root biomass,,1,CO_335:0000063
Common Bean,CO_335,CO_335:0000940,CO_335:0000940,Plant total root length,,1,CO_335:0000065
Common Bean,CO_335,CO_335:0000941,CO_335:0000941,Pod biomass at R8,,1,CO_335:0000040
Common Bean,CO_335,CO_335:0000942,CO_335:0000942,Pod biomass at R9,,1,CO_335:0000039
Common Bean,CO_335,CO_335:0000943,CO_335:0000943,Pod dehiscence type,,1,CO_335:0000527
Common Bean,CO_335,CO_335:0000944,CO_335:0000944,Pod harvest index,,1,CO_335:0000042
Common Bean,CO_335,CO_335:0000945,CO_335:0000945,Pod number,,1,CO_335:0000575
Common Bean,CO_335,CO_335:0000946,CO_335:0000946,Pod partitioning index,,1,CO_335:0000044
Common Bean,CO_335,CO_335:0000947,CO_335:0000947,Pod seed number,,1,CO_335:0000059
Common Bean,CO_335,CO_335:0000948,CO_335:0000948,Pod wall biomass at R9,,1,CO_335:0000047
Common Bean,CO_335,CO_335:0000949,CO_335:0000949,Root depth,,1,CO_335:0000141
Common Bean,CO_335,CO_335:0000950,CO_335:0000950,Root volume,,1,CO_335:0000674
Common Bean,CO_335,CO_335:0000951,CO_335:0000951,Seed ash content,,1,CO_335:0000138
Common Bean,CO_335,CO_335:0000952,CO_335:0000952,Seed harvest index,,1,CO_335:0000135
Common Bean,CO_335,CO_335:0000953,CO_335:0000953,Seed moisture content,,1,CO_335:0000542
Common Bean,CO_335,CO_335:0000954,CO_335:0000954,Seed number,,1,CO_335:0000572
Common Bean,CO_335,CO_335:0000955,CO_335:0000955,Seed size,,1,CO_335:0000581
Common Bean,CO_335,CO_335:0000799,CO_335:0000799,Seed size,,1,CO_335:0001208
Common Bean,CO_335,CO_335:0000956,CO_335:0000956,Seed yield,,2,CO_335:0000068; CO_335:0000028
Common Bean,CO_335,CO_335:0000800,CO_335:0000800,Seed yield,,1,CO_335:0001211
Common Bean,CO_335,CO_335:0000957,CO_335:0000957,Seed yield productivity rate,,1,CO_335:0000539
Common Bean,CO_335,CO_335:0000958,CO_335:0000958,Shoot ash content,,1,CO_335:0000641
Common Bean,CO_335,CO_335:0000959,CO_335:0000959,Shoot biomass,,1,CO_335:0000635
Common Bean,CO_335,CO_335:0000960,CO_335:0000960,Shoot biomass at R8,,1,CO_335:0000012
Common Bean,CO_335,CO_335:0000961,CO_335:0000961,Specific root length,,1,CO_335:0000060
Common Bean,CO_335,CO_335:0000962,CO_335:0000962,Stem biomass at R8,,1,CO_335:0000054
Common Bean,CO_335,CO_335:0000963,CO_335:0000963,Stem biomass at R9,,1,CO_335:0000062
Common Bean,CO_335,CO_335:0000964,CO_335:0000964,Stem biomass reduction,,1,CO_335:0000136
Common Bean,CO_335,CO_335:0000965,CO_335:0000965,Total root biomass,,1,CO_335:0000064
Common Bean,CO_335,CO_335:0000966,CO_335:0000966,Total root length,,1,CO_335:0000066
Common Bean,CO_335,CO_335:0000967,CO_335:0000967,Presence of marker linked to bc-3 gene,,1,CO_335:0000569
Common Bean,CO_335,CO_335:0000968,CO_335:0000968,Presence of marker linked to bgm-1 gene,,1,CO_335:0000563
Common Bean,CO_335,CO_335:0000969,CO_335:0000969,Presence of marker linked to W12 QTL,,1,CO_335:0000566
Common Bean,CO_335,CO_335:0000970,CO_335:0000970,Angular Leaf Spot disease severity on leaves,,2,CO_335:0000004; CO_335:0000002
Common Bean,CO_335,CO_335:0000971,CO_335:0000971,Angular Leaf Spot disease severity on pods,,1,CO_335:0000003
Common Bean,CO_335,CO_335:0000972,CO_335:0000972,Anthracnose disease severity on leaves,,2,CO_335:0000008; CO_335:0000006
Common Bean,CO_335,CO_335:0000973,CO_335:0000973,Anthracnose disease severity on pods,,1,CO_335:0000007
Common Bean,CO_335,CO_335:0000974,CO_335:0000974,Aphids damage,,1,CO_335:0000476
Common Bean,CO_335,CO_335:0000975,CO_335:0000975,Ascochyta blight disease severity on leaves,,2,CO_335:0000605; CO_335:0000602
Common Bean,CO_335,CO_335:0000976,CO_335:0000976,Ascochyta blight disease severity on pods,,1,CO_335:0000608
Common Bean,CO_335,CO_335:0000977,CO_335:0000977,Bean Common Mosaic Necrosis Virus reaction,,1,CO_335:0000009
Common Bean,CO_335,CO_335:0000978,CO_335:0000978,Bean Golden Yellow Mosaic Virus reaction,,1,CO_335:0000470
Common Bean,CO_335,CO_335:0000979,CO_335:0000979,Bean Golden Yellow Mosaic Virus severity,,1,CO_335:0000473
Common Bean,CO_335,CO_335:0000980,CO_335:0000980,Bean Stem Maggot damage,,1,CO_335:0000011
Common Bean,CO_335,CO_335:0000981,CO_335:0000981,Bruchid damage on seeds,,1,CO_335:0000010
Common Bean,CO_335,CO_335:0000982,CO_335:0000982,Common Bacterial Blight disease severity on leaves,,2,CO_335:0000015; CO_335:0000013
Common Bean,CO_335,CO_335:0000983,CO_335:0000983,Common Bacterial Blight disease severity on pods,,1,CO_335:0000014
Common Bean,CO_335,CO_335:0000984,CO_335:0000984,Floury leaf spot disease severity,,1,CO_335:0000449
Common Bean,CO_335,CO_335:0000985,CO_335:0000985,Fusarium solani disease severity,,2,CO_335:0000026; CO_335:0000025
Common Bean,CO_335,CO_335:0000986,CO_335:0000986,Halo blight disease severity on leaves,,2,CO_335:0000032; CO_335:0000030
Common Bean,CO_335,CO_335:0000987,CO_335:0000987,Halo blight disease severity on pods,,1,CO_335:0000031
Common Bean,CO_335,CO_335:0000988,CO_335:0000988,Leafhopper damage,,1,CO_335:0000479
Common Bean,CO_335,CO_335:0000989,CO_335:0000989,Macrophomina disease severity,,2,CO_335:0000428; CO_335:0000611
Common Bean,CO_335,CO_335:0000990,CO_335:0000990,Pythium spp. disease severity,,2,CO_335:0000049; CO_335:0000048
